policy_tenure,age_of_car,age_of_policyholder,airbags,displacement,length,width,height,gross_weight,is_claim
0.964437781600211,0.02,0.442307692307692,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
0.040432718765419,0.0,0.557692307692308,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
0.557904253839408,0.09,0.548076923076923,2.0,1497.0,3990.0,1755.0,1523.0,1490.0,0
1.17632485638331,0.15,0.384615384615385,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
0.042761818228192,0.15,0.480769230769231,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
1.14727684316385,0.14,0.432692307692308,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
0.197863770405696,0.07,0.317307692307692,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
0.681175051448722,0.02,0.548076923076923,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
1.14862698284356,0.16,0.346153846153846,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
0.224973502710223,0.15,0.346153846153846,2.0,1498.0,3995.0,1695.0,1501.0,1051.0,0
0.885595460109244,0.16,0.576923076923077,2.0,998.0,3655.0,1620.0,1675.0,1340.0,0
1.2342780934043,0.01,0.298076923076923,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
0.570317534327651,0.13,0.423076923076923,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
0.561130526838415,0.07,0.567307692307692,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
1.17306089688961,0.15,0.701923076923077,2.0,999.0,3731.0,1579.0,1490.0,1155.0,0
1.01804186414753,0.05,0.413461538461538,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
0.250996556472501,0.05,0.298076923076923,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
1.06996811456543,0.03,0.298076923076923,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
0.301593791512113,0.16,0.384615384615385,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
0.960537844087458,0.05,0.375,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
1.0297978265315,0.08,0.721153846153846,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
0.73813927959013,0.01,0.509615384615385,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
0.086810297617615,0.09,0.355769230769231,1.0,1196.0,3675.0,1475.0,1825.0,1510.0,0
0.609596298507982,0.09,0.528846153846154,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
0.228780979500968,0.04,0.375,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
1.00242848277037,0.09,0.442307692307692,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
1.23045036684834,0.11,0.442307692307692,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
1.01592448626046,0.15,0.384615384615385,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
1.06626437376288,0.06,0.451923076923077,6.0,1493.0,4300.0,1790.0,1635.0,1720.0,0
0.512207046871789,0.04,0.5,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
1.22857160195852,0.03,0.442307692307692,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
1.13749743254327,0.07,0.586538461538462,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
0.550459442810473,0.02,0.682692307692308,2.0,796.0,3445.0,1515.0,1475.0,1185.0,0
1.04627691970591,0.07,0.403846153846154,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
0.233350936858262,0.15,0.403846153846154,2.0,1197.0,3845.0,1735.0,1530.0,1335.0,0
0.354688411066868,0.13,0.307692307692308,2.0,1498.0,3995.0,1695.0,1501.0,1051.0,0
0.476039136851597,0.14,0.346153846153846,2.0,998.0,3655.0,1620.0,1675.0,1340.0,0
1.04149404336078,0.01,0.548076923076923,2.0,998.0,3655.0,1620.0,1675.0,1340.0,0
1.14514264703865,0.04,0.413461538461538,2.0,1498.0,3995.0,1695.0,1501.0,1051.0,0
1.05334663307149,0.06,0.480769230769231,2.0,1197.0,3995.0,1735.0,1515.0,1335.0,0
